instrument,split,side,entry_time,exit_time,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,bars_to_exit,open_at_h2,reached_plus_025_h2,reached_plus_05_h2,mae_by_h2,no_continuation_h2,early_favorable_displacement_h2,early_adverse_expansion_h2,early_retest_hold_h2,early_reclaim_failure_h2,range_compression_after_entry_h2,open_at_h4,reached_plus_025_h4,reached_plus_05_h4,mae_by_h4,no_continuation_h4,early_favorable_displacement_h4,early_adverse_expansion_h4,early_retest_hold_h4,early_reclaim_failure_h4,range_compression_after_entry_h4,open_at_h8,reached_plus_025_h8,reached_plus_05_h8,mae_by_h8,no_continuation_h8,early_favorable_displacement_h8,early_adverse_expansion_h8,early_retest_hold_h8,early_reclaim_failure_h8,range_compression_after_entry_h8,open_at_h16,reached_plus_025_h16,reached_plus_05_h16,mae_by_h16,no_continuation_h16,early_favorable_displacement_h16,early_adverse_expansion_h16,early_retest_hold_h16,early_reclaim_failure_h16,range_compression_after_entry_h16,trap_or_failed_breakout,time_to_first_plus_025,time_to_first_plus_05,time_to_first_plus_10,time_to_first_minus_025,time_to_first_minus_05,time_to_first_minus_09,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,train,long,2021-10-13T03:30:00+00:00,2021-10-13T11:45:00+00:00,0.0026947750546382,time_stop,32,OK,0.828358,-0.731343,True,True,False,True,False,31,True,False,False,-0.447761,True,False,False,False,True,True,True,True,False,-0.447761,False,True,False,True,True,True,True,True,False,-0.529851,False,False,False,True,True,False,True,True,True,-0.731343,False,False,False,True,True,False,True,4.0,12.0,,1.0,8.0,,True,True,False,False,False
USD_JPY,train,long,2021-10-13T16:00:00+00:00,2021-10-13T19:15:00+00:00,-0.0088256579528003,hard_stop,14,OK,-0.078086,-1.050378,False,False,False,True,True,13,True,False,False,-0.59194,True,False,True,False,True,True,True,False,False,-0.778338,True,False,True,False,True,True,True,False,False,-0.919395,True,False,True,True,True,True,False,False,False,-1.050378,True,False,True,True,True,False,True,,,,1.0,1.0,5.0,False,False,True,False,True
USD_JPY,train,long,2021-10-14T00:30:00+00:00,2021-10-14T08:45:00+00:00,0.0019512905835919,time_stop,32,OK,1.672131,-0.655738,True,True,True,True,False,31,True,False,False,-0.319672,True,False,False,True,False,True,True,True,True,-0.319672,False,True,False,True,False,False,True,True,True,-0.319672,False,True,False,True,False,False,True,True,True,-0.319672,False,True,False,True,False,False,False,3.0,3.0,5.0,1.0,28.0,,True,True,False,False,False
USD_JPY,train,long,2021-10-14T10:45:00+00:00,2021-10-14T18:30:00+00:00,0.0143774972854426,time_stop,32,OK,2.038328,-0.714286,True,True,True,True,False,31,True,False,False,-0.714286,True,False,True,False,True,True,True,False,False,-0.714286,True,False,True,True,True,True,True,True,True,-0.714286,False,False,True,True,True,False,True,True,True,-0.714286,False,False,True,True,True,False,True,5.0,6.0,11.0,1.0,1.0,,True,True,False,False,False
USD_JPY,train,long,2021-10-15T15:45:00+00:00,2021-10-18T01:00:00+00:00,-0.0087639346561032,hard_stop,30,OK,0.27845,-1.242131,True,False,False,True,True,29,True,False,False,-0.326877,True,False,False,True,True,True,True,False,False,-0.506053,True,False,True,True,True,True,True,False,False,-0.506053,True,False,True,True,True,True,True,False,False,-0.59322,True,False,True,True,True,False,True,18.0,,,2.0,4.0,29.0,False,False,True,False,False
USD_JPY,train,long,2021-10-18T03:15:00+00:00,2021-10-18T11:00:00+00:00,0.0008203176269851,time_stop,32,OK,1.15,-0.30625,True,True,True,False,False,31,True,True,True,0.28125,False,True,False,False,False,True,True,True,True,0.28125,False,True,False,False,False,True,True,True,True,0.05,False,True,False,True,False,False,True,True,True,-0.30625,False,True,False,True,True,False,False,1.0,1.0,2.0,11.0,,,True,True,False,True,False
USD_JPY,train,long,2021-10-19T09:30:00+00:00,2021-10-19T17:30:00+00:00,0.0073127317429619,time_stop,32,OK,1.411392,-0.297468,True,True,True,False,False,31,True,False,False,-0.297468,True,False,False,True,False,True,True,False,False,-0.297468,True,False,False,True,False,True,True,True,True,-0.297468,False,True,False,True,False,False,True,True,True,-0.297468,False,True,False,True,True,False,False,5.0,6.0,11.0,1.0,,,True,True,False,True,False
USD_JPY,train,long,2021-10-20T09:45:00+00:00,2021-10-20T12:00:00+00:00,-0.0087476818643059,hard_stop,10,OK,0.467577,-1.94198,True,False,False,True,True,9,True,True,False,-0.105802,False,True,False,True,False,True,True,True,False,-0.303754,False,True,False,True,True,True,True,True,False,-0.645051,False,False,False,True,True,False,False,True,False,-1.94198,False,False,False,True,True,False,False,1.0,,,4.0,6.0,9.0,False,False,True,False,False
USD_JPY,train,long,2021-10-20T14:45:00+00:00,2021-10-20T16:30:00+00:00,-0.0087593286850495,hard_stop,8,OK,-0.04298,-1.240688,False,False,False,True,True,7,True,False,False,-0.696275,True,False,True,False,True,True,True,False,False,-0.810888,True,False,True,False,True,True,False,False,False,-1.240688,True,False,True,False,True,False,False,False,False,-1.240688,True,False,True,False,True,False,True,,,,1.0,1.0,6.0,False,False,True,False,True
USD_JPY,train,long,2021-10-20T19:15:00+00:00,2021-10-21T04:00:00+00:00,-0.008760633218569,hard_stop,28,OK,0.820069,-2.134948,True,True,False,True,True,27,True,False,False,-0.294118,True,False,False,True,False,True,True,True,False,-0.294118,False,True,False,True,False,True,True,True,True,-0.294118,False,True,False,True,False,False,True,True,True,-0.467128,False,True,False,True,True,False,False,4.0,7.0,,2.0,26.0,27.0,False,False,True,False,False
