instrument,bar_type,method,threshold_pips,bar_count,bars_per_year,bars_per_day,median_minutes_per_bar,avg_overshoot_pips,multi_threshold_rate,spread_pips,round_trip_cost_pips,cost_to_threshold,baseline_stop_pips,cost_to_risk_baseline,cost_to_risk_wide,min_gross_edge_baseline_r,cadence_class,label
NZD_USD,range,,10.0,13177,5082.94,13.916,38.0,1.4159,0.0141,1.888,2.288,0.2288,20.0,0.1144,0.0572,0.1144,sane,COST_DOMINATED
NZD_USD,range,,15.0,5995,2312.53,6.331,87.0,1.6149,0.0117,1.888,2.288,0.1525,30.0,0.0763,0.0381,0.0763,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,range,,20.0,3387,1306.51,3.577,166.0,1.7607,0.0094,1.888,2.288,0.1144,40.0,0.0572,0.0286,0.0572,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,range,,25.0,2214,854.04,2.338,269.0,1.9269,0.0068,1.888,2.288,0.0915,50.0,0.0458,0.0229,0.0458,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
NZD_USD,range,,30.0,1469,566.66,1.551,418.0,1.9594,0.0088,1.888,2.288,0.0763,60.0,0.0381,0.0191,0.0381,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
NZD_USD,volatility,abs_close,20.0,38326,14783.99,40.476,22.0,0.8998,0.0011,1.888,2.288,0.1144,20.0,0.1144,0.0572,0.1144,sane,COST_DOMINATED
NZD_USD,volatility,abs_close,30.0,25922,9999.23,27.376,33.0,0.9007,0.0007,1.888,2.288,0.0763,30.0,0.0763,0.0381,0.0763,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,volatility,abs_close,40.0,19578,7552.08,20.676,45.0,0.9132,0.0005,1.888,2.288,0.0572,40.0,0.0572,0.0286,0.0572,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
NZD_USD,volatility,abs_close,50.0,15734,6069.28,16.617,56.0,0.9082,0.0001,1.888,2.288,0.0458,50.0,0.0458,0.0229,0.0458,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
NZD_USD,volatility,true_range,20.0,65400,25227.6,69.069,12.0,1.1432,0.0012,1.888,2.288,0.1144,20.0,0.1144,0.0572,0.1144,very_high,TOO_NOISY
