campaign,split,instrument,entry_time,side,attribution,weekday,session
C018,train,USD_JPY,2022-05-12T05:00:00+00:00,long,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C018,train,USD_JPY,2022-07-11T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London
C018,train,USD_JPY,2022-09-21T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C018,train,USD_JPY,2022-12-13T10:00:00+00:00,long,risk_engine_or_orchestration_divergence,Tuesday,London
C018,validation,USD_JPY,2023-05-15T01:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,Asia/late
C018,validation,USD_JPY,2023-06-15T01:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C018,validation,USD_JPY,2023-06-16T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Friday,London/NY overlap
C018,validation,USD_JPY,2023-07-20T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C018,validation,USD_JPY,2023-08-10T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C018,validation,USD_JPY,2023-08-23T13:00:00+00:00,long,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C018,validation,USD_JPY,2023-09-01T09:00:00+00:00,long,risk_engine_or_orchestration_divergence,Friday,London
C018,validation,USD_JPY,2023-09-05T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
C018,validation,USD_JPY,2023-09-20T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,Asia/late
C018,validation,USD_JPY,2023-10-12T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C018,validation,USD_JPY,2024-02-08T10:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London
C018,validation,USD_JPY,2024-02-29T06:00:00+00:00,long,risk_engine_or_orchestration_divergence,Thursday,Asia/late
C018,validation,USD_JPY,2024-03-27T05:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,Asia/late
C018,validation,USD_JPY,2024-04-10T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London
C018,validation,USD_JPY,2024-04-10T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C018,validation,USD_JPY,2024-05-13T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London/NY overlap
C018,validation,USD_JPY,2024-05-14T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London
C018,validation,USD_JPY,2024-05-23T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C018,validation,USD_JPY,2024-05-29T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C018,validation,USD_JPY,2024-08-15T09:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London
C018,validation,USD_JPY,2024-10-02T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Wednesday,London/NY overlap
C018,validation,USD_JPY,2024-10-17T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Thursday,London/NY overlap
C018,validation,USD_JPY,2024-10-21T13:00:00+00:00,short,risk_engine_or_orchestration_divergence,Monday,London/NY overlap
C018,validation,USD_JPY,2024-11-12T14:00:00+00:00,short,risk_engine_or_orchestration_divergence,Tuesday,London/NY overlap
