campaign_id,ledger_label,financing_mode,instrument,trades,gross_r,financing_r,adjusted_r,hold_days
CAMPAIGN_016,c016_weekly_momentum_folds_base,manual_observed_fixture,USD_JPY,30,0.05822476549301273,-2.09515581139849,-2.0369310459054772,110.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,AUD_USD,40,-10.980888399788348,0.0,-10.980888399788348,226.1666666666667
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,EUR_USD,28,0.42615995535075146,0.0,0.42615995535075146,178.33333333333334
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,GBP_USD,35,2.984646580523527,0.0,2.984646580523527,219.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,NZD_USD,31,-4.858649258040117,0.0,-4.858649258040117,164.66666666666669
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,USD_CAD,34,-7.260517175652598,0.0,-7.260517175652598,179.33333333333334
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,USD_CHF,37,14.450288159986616,0.0,14.450288159986616,223.49999999999997
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,none,USD_JPY,25,0.02569863483468452,0.0,0.02569863483468452,157.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,AUD_USD,40,-10.980888399788348,-1.2937562647419893,-12.274644664530335,226.1666666666667
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,EUR_USD,28,0.42615995535075146,-1.30888587221928,-0.8827259168685293,178.33333333333334
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,GBP_USD,35,2.984646580523527,-1.6174692080183255,1.3671773725052019,219.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,NZD_USD,31,-4.858649258040117,-0.9636684411952497,-5.8223176992353665,164.66666666666669
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,USD_CAD,34,-7.260517175652598,-1.2548887945161986,-8.515405970168796,179.33333333333334
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,USD_CHF,37,14.450288159986616,-2.007911556628773,12.442376603357841,223.49999999999997
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,synthetic_fixture,USD_JPY,25,0.02569863483468452,-1.6395597827366697,-1.6138611479019853,157.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,AUD_USD,40,-10.980888399788348,-2.2178678824148395,-13.198756282203183,226.1666666666667
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,EUR_USD,28,0.42615995535075146,-2.61777174443856,-2.1916117890878093,178.33333333333334
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,GBP_USD,35,2.984646580523527,-2.772804356602844,0.21184222392068347,219.66666666666666
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,NZD_USD,31,-4.858649258040117,-1.6520030420489995,-6.510652300089118,164.66666666666669
CAMPAIGN_017,c017_weekly_vol_breakout_folds_base,manual_observed_fixture,USD_CAD,34,-7.260517175652598,-3.011733106838876,-10.272250282491475,179.33333333333334
