instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips,protective_stop_armed,protective_stop_arm_time,protective_stop_arm_mfe_r,protective_stop_exit,thesis_invalidation_exit,zscore_at_exit
GBP_USD,short,349,2022-05-09T17:45:00+00:00,2022-05-10T03:00:00+00:00,1.233810,1.23621,1.23749,-0.837600,-0.6521739130434782608695652174,32,2.0,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,627,2022-05-10T06:30:00+00:00,2022-05-10T14:15:00+00:00,1.235345,1.23397,1.23745,0.862125,0.6532066508313539192399049881,32,2.3,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,341,2022-05-10T16:45:00+00:00,2022-05-11T02:00:00+00:00,1.232050,1.23372,1.23580,-0.569470,-0.4453333333333333333333333333,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,522,2022-05-11T10:30:00+00:00,2022-05-11T13:30:00+00:00,1.235315,1.23779,1.23779,-1.291950,-1,13,1.7,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,333,2022-05-12T16:00:00+00:00,2022-05-13T00:45:00+00:00,1.219455,1.22088,1.22328,-0.474525,-0.3725490196078431372549019608,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,512,2022-05-13T11:30:00+00:00,2022-05-13T14:45:00+00:00,1.219470,1.22199,1.22199,-1.290240,-1,14,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,686,2022-05-16T06:15:00+00:00,2022-05-16T07:30:00+00:00,1.223460,1.22538,1.22538,-1.317120,-1,6,2.2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,436,2022-05-18T12:00:00+00:00,2022-05-18T13:45:00+00:00,1.242095,1.23917,1.23917,-1.275300,-1,8,1.7,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,397,2022-05-18T16:00:00+00:00,2022-05-19T00:45:00+00:00,1.239110,1.2354,1.24232,1.472870,1.155763239875389408099688474,32,2.0,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,622,2022-05-19T06:00:00+00:00,2022-05-19T07:45:00+00:00,1.236295,1.23838,1.23838,-1.296870,-1,8,1.9,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,630,2022-05-20T04:30:00+00:00,2022-05-20T12:15:00+00:00,1.245915,1.24795,1.24384,1.282050,0.9807228915662650602409638554,32,2.3,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,436,2022-05-20T15:45:00+00:00,2022-05-20T18:15:00+00:00,1.248745,1.24583,1.24583,-1.270940,-1,11,1.5,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,432,2022-05-25T13:30:00+00:00,2022-05-25T22:30:00+00:00,1.251935,1.25867,1.24899,2.909520,2.286926994906621392190152801,32,1.7,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,634,2022-05-26T07:15:00+00:00,2022-05-26T08:30:00+00:00,1.257830,1.25576,1.25576,-1.312380,-1,6,2.2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,523,2022-05-26T09:45:00+00:00,2022-05-26T12:00:00+00:00,1.259670,1.25720,1.25720,-1.291810,-1,10,2.0,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,397,2022-05-26T13:45:00+00:00,2022-05-26T23:15:00+00:00,1.258390,1.26129,1.25517,1.151300,0.9006211180124223602484472050,32,2.2,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,491,2022-05-27T11:45:00+00:00,2022-05-27T19:30:00+00:00,1.261960,1.26286,1.25935,0.441900,0.3448275862068965517241379310,32,1.8,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,long,582,2022-05-30T09:15:00+00:00,2022-05-30T17:00:00+00:00,1.264240,1.26518,1.26201,0.547080,0.4215246636771300448430493274,32,2.0,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,418,2022-06-14T07:00:00+00:00,2022-06-14T07:30:00+00:00,1.216385,1.21946,1.21946,-1.285350,-1,3,2.1,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,378,2022-06-14T08:15:00+00:00,2022-06-14T16:00:00+00:00,1.217090,1.1997,1.22046,6.573420,5.160237388724035608308605341,32,2.0,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,382,2022-06-15T12:15:00+00:00,2022-06-15T18:00:00+00:00,1.20800,1.21138,1.21138,-1.29116,-1,24,2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,330,2022-06-17T18:00:00+00:00,2022-06-20T02:45:00+00:00,1.221515,1.22283,1.22541,-0.433950,-0.3376123234916559691912708601,32,2.1,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,566,2022-07-04T01:30:00+00:00,2022-07-04T07:00:00+00:00,1.209550,1.21185,1.21185,-1.301800,-1,23,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,794,2022-07-04T22:45:00+00:00,2022-07-05T01:30:00+00:00,1.210410,1.21209,1.21209,-1.333920,-1,12,2.2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,397,2022-07-06T08:45:00+00:00,2022-07-06T16:30:00+00:00,1.195565,1.19078,1.19879,1.899645,1.483720930232558139534883721,32,1.9,time,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,630,2022-07-07T06:15:00+00:00,2022-07-07T07:00:00+00:00,1.194140,1.19622,1.19622,-1.310400,-1,4,2.0,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,362,2022-07-07T13:00:00+00:00,2022-07-07T13:45:00+00:00,1.196185,1.19972,1.19972,-1.279670,-1,4,1.9,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,363,2022-07-08T12:45:00+00:00,2022-07-08T13:00:00+00:00,1.196960,1.20047,1.20047,-1.274130,-1,2,1.8,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,292,2022-07-08T14:00:00+00:00,2022-07-08T14:30:00+00:00,1.198035,1.20238,1.20238,-1.268740,-1,3,2.1,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,383,2022-07-12T12:00:00+00:00,2022-07-12T13:00:00+00:00,1.183185,1.18650,1.18650,-1.269645,-1,5,1.9,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,485,2022-07-12T19:15:00+00:00,2022-07-13T03:30:00+00:00,1.188950,1.19160,1.19160,-1.285250,-1,29,2.2,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,474,2022-07-13T07:30:00+00:00,2022-07-13T10:45:00+00:00,1.189765,1.19246,1.19246,-1.277430,-1,14,2.1,stop,next_bar_open,False,False,,False,,,False,False,
GBP_USD,short,404,2022-07-13T12:45:00+00:00,2022-07-13T12:45:00+00:00,1.184125,1.18725,1.18725,-1.262500,-1,1,1.9,stop,next_bar_open,False,False,,False,,,False,False,
