condition,horizon_min,null,obs_bp,uncond_bp,null_mean_bp,null_std_bp,z
strongest,15,randomized_ranks,0.006609925475153148,-0.009898970765430438,-0.009647698942860312,0.03213916022906617,0.5058509401658328
strongest,15,shuffled_currencies,0.006609925475153148,-0.009898970765430438,-0.00681914306662094,0.03474973362162414,0.38645097795562433
strongest,15,matched_timestamps,0.006609925475153148,-0.009898970765430438,-0.012838233764063154,0.03123872578294102,0.6225657017622862
strongest,15,unconditional,0.006609925475153148,-0.009898970765430438,-0.012785041477158593,0.031549077099616296,0.6147554456528818
weakest,15,randomized_ranks,0.008453701083566934,-0.009898970765430438,-0.009253040834429196,0.032191718803722805,0.5500402766921672
weakest,15,shuffled_currencies,0.008453701083566934,-0.009898970765430438,-0.006579674141354154,0.024838598394421343,0.6052424934048424
weakest,15,matched_timestamps,0.008453701083566934,-0.009898970765430438,-0.012789962997555578,0.030939662420413263,0.6866158974994647
weakest,15,unconditional,0.008453701083566934,-0.009898970765430438,-0.013158932821130224,0.031647983036301286,0.6829071501936396
rapid_strengthen,15,randomized_ranks,-0.00485161498547945,-0.009898970765430438,-0.008763754739950157,0.032741364598362084,0.11948615466889903
rapid_strengthen,15,shuffled_currencies,-0.00485161498547945,-0.009898970765430438,-0.0071759582498133806,0.04290679016168379,0.054171921403936486
rapid_strengthen,15,matched_timestamps,-0.00485161498547945,-0.009898970765430438,-0.012803611259284699,0.031190694206166516,0.25494771681718803
rapid_strengthen,15,unconditional,-0.00485161498547945,-0.009898970765430438,-0.013146108512787259,0.03187424941314676,0.26022553252302416
rapid_weaken,15,randomized_ranks,-0.06251507647203962,-0.009898970765430438,-0.007976632453008727,0.03304316891423879,-1.6505209945384347
rapid_weaken,15,shuffled_currencies,-0.06251507647203962,-0.009898970765430438,-0.014848037996610393,0.04063697668103859,-1.1729966736839184
rapid_weaken,15,matched_timestamps,-0.06251507647203962,-0.009898970765430438,-0.013033347574876552,0.03133077873572349,-1.5793328762921484
rapid_weaken,15,unconditional,-0.06251507647203962,-0.009898970765430438,-0.013841762962266243,0.031869570021560434,-1.5272660872689798
strongest,30,randomized_ranks,-0.03658724192056095,-0.005597878838744466,-0.004849059494534185,0.04571628835333648,-0.6942423273894335
strongest,30,shuffled_currencies,-0.03658724192056095,-0.005597878838744466,-0.01056625753243804,0.04304773986522405,-0.6044680735757713
strongest,30,matched_timestamps,-0.03658724192056095,-0.005597878838744466,-0.005667254197896103,0.04534539135642565,-0.6818771830554141
strongest,30,unconditional,-0.03658724192056095,-0.005597878838744466,-0.00791898064248567,0.04663998872651891,-0.614671273747004
weakest,30,randomized_ranks,0.023274314167363124,-0.005597878838744466,-0.005914372051706941,0.04372585051560174,0.6675384440756689
weakest,30,shuffled_currencies,0.023274314167363124,-0.005597878838744466,-0.0028889362611562264,0.045704092113634076,0.5724487506166771
weakest,30,matched_timestamps,0.023274314167363124,-0.005597878838744466,-0.006872376174119176,0.04524673140727689,0.6662733285665339
weakest,30,unconditional,0.023274314167363124,-0.005597878838744466,-0.0063458695898609375,0.048333150342225996,0.6128337082829578
rapid_strengthen,30,randomized_ranks,-0.016522560343258604,-0.005597878838744466,-0.004600628679645084,0.04511776179680254,-0.26424031664749864
rapid_strengthen,30,shuffled_currencies,-0.016522560343258604,-0.005597878838744466,-0.008988129717456024,0.07291424562110159,-0.1033327652452883
rapid_strengthen,30,matched_timestamps,-0.016522560343258604,-0.005597878838744466,-0.008638336993075407,0.04461244073595162,-0.1767270120199807
rapid_strengthen,30,unconditional,-0.016522560343258604,-0.005597878838744466,-0.00611520785016172,0.04946708803817567,-0.21038943074767466
rapid_weaken,30,randomized_ranks,-0.05417954474372278,-0.005597878838744466,-0.003619203609786705,0.04479250663303454,-1.128767843875202
rapid_weaken,30,shuffled_currencies,-0.05417954474372278,-0.005597878838744466,-0.005902211209436679,0.04350602540725147,-1.109670053340229
rapid_weaken,30,matched_timestamps,-0.05417954474372278,-0.005597878838744466,-0.008891976306794653,0.04430248935670908,-1.022235298614656
rapid_weaken,30,unconditional,-0.05417954474372278,-0.005597878838744466,-0.006210521149944544,0.049465385080305097,-0.9697493209827928
strongest,60,randomized_ranks,0.007251340180974734,-0.003554794942717479,-0.013463139769074485,0.06642328219227579,0.3118557118283754
strongest,60,shuffled_currencies,0.007251340180974734,-0.003554794942717479,-0.001259310211076977,0.0666654248672099,0.1276621338423025
strongest,60,matched_timestamps,0.007251340180974734,-0.003554794942717479,-0.001971171881568942,0.06504886884858069,0.1417782080732508
strongest,60,unconditional,0.007251340180974734,-0.003554794942717479,-0.004051911784705735,0.07148561332353844,0.1581192556119343
