condition,horizon_min,currency,year,session,fwd_bp
strongest,60,EUR,2021,london,-0.6472851473504626
strongest,60,NZD,2021,overlap,1.2084351652541514
strongest,60,CAD,2021,overlap,-6.622570283799367
strongest,60,CAD,2021,overlap,-17.504451163673217
strongest,60,CHF,2021,overlap,-1.639768145383913
strongest,60,USD,2021,new_york,9.55060863217061
strongest,60,USD,2021,asia,8.424308365713173
strongest,60,USD,2021,london,-8.144280680305593
strongest,60,JPY,2021,london,1.2966261568170268
strongest,60,JPY,2021,london,1.6309461602315167
strongest,60,CAD,2021,london,-6.203849002318351
strongest,60,CAD,2021,overlap,23.14302529181217
strongest,60,NZD,2021,overlap,16.242880937069604
strongest,60,NZD,2021,overlap,1.1349531293003423
strongest,60,NZD,2021,overlap,9.94005365919648
strongest,60,NZD,2021,new_york,21.766182158202696
strongest,60,CAD,2021,new_york,-14.926102354179681
strongest,60,GBP,2021,asia,-0.46838767194135045
strongest,60,GBP,2021,london,4.641570469872125
strongest,60,AUD,2021,london,-6.595926109813632
strongest,60,JPY,2021,london,-5.949124896389435
strongest,60,JPY,2021,overlap,1.9729200227835975
strongest,60,USD,2021,overlap,-34.21106490554049
strongest,60,NZD,2021,asia,25.733617103349538
strongest,60,NZD,2021,asia,-11.056203669701503
strongest,60,NZD,2021,london,-8.519648624272236
strongest,60,NZD,2021,london,-1.0469400709656185
strongest,60,AUD,2021,london,-3.1729751825992913
strongest,60,JPY,2021,london,9.582250659283531
strongest,60,JPY,2021,overlap,2.9245639971353654
strongest,60,JPY,2021,overlap,26.36812011979295
strongest,60,JPY,2021,overlap,33.85118138186982
strongest,60,JPY,2021,overlap,-1.7837819896282525
strongest,60,JPY,2021,new_york,-5.34470214838656
strongest,60,JPY,2021,new_york,17.52972362220717
strongest,60,JPY,2021,asia,-22.614912935363662
strongest,60,NZD,2021,asia,5.56269714966362
strongest,60,NZD,2021,asia,9.094968405736203
strongest,60,NZD,2021,london,-11.794524060433353
strongest,60,NZD,2021,london,7.859829077507818
strongest,60,AUD,2021,london,0.830513878200545
strongest,60,CAD,2021,london,8.124882294285596
strongest,60,NZD,2021,overlap,-32.381713896030284
strongest,60,GBP,2021,overlap,-17.791200234638094
strongest,60,USD,2021,overlap,-2.3982557982504815
strongest,60,JPY,2021,overlap,-4.724850863349062
strongest,60,USD,2021,new_york,-12.541691189487114
strongest,60,JPY,2021,new_york,9.6929805378565
strongest,60,GBP,2021,new_york,-10.720918700348747
strongest,60,JPY,2021,asia,24.3447902402405
strongest,60,JPY,2021,asia,35.391772123656295
strongest,60,JPY,2021,london,13.122541580274927
strongest,60,JPY,2021,london,-13.894353448851149
strongest,60,CHF,2021,london,4.441847265316823
strongest,60,CHF,2021,london,-3.346807208991359
strongest,60,CHF,2021,london,19.014655209310533
strongest,60,CHF,2021,overlap,-1.2523453762428027
strongest,60,CHF,2021,overlap,3.492930414629308
strongest,60,CAD,2021,overlap,-1.7538684803050653
strongest,60,CHF,2021,overlap,-1.9699490999240676
strongest,60,CAD,2021,new_york,-2.1550090074978767
strongest,60,CAD,2021,new_york,-6.781256866605078
strongest,60,USD,2021,asia,4.611149379460944
strongest,60,GBP,2021,asia,3.210637939607963
strongest,60,GBP,2021,london,0.026497933907076998
strongest,60,AUD,2021,london,16.251956451112104
strongest,60,AUD,2021,london,8.902719839158912
strongest,60,AUD,2021,london,10.41593359270232
strongest,60,NZD,2021,london,4.8376035925090655
strongest,60,NZD,2021,overlap,2.0020158674038946
strongest,60,GBP,2021,overlap,8.235459853245253
strongest,60,GBP,2021,overlap,-14.119832687087275
strongest,60,GBP,2021,new_york,27.924859908845523
strongest,60,GBP,2021,asia,-8.515255861814008
strongest,60,CAD,2021,london,-1.4435916585475717
strongest,60,CAD,2021,london,-15.305287317455562
strongest,60,JPY,2021,london,5.614066142642926
strongest,60,JPY,2021,london,-4.3760297492134725
strongest,60,USD,2021,overlap,-6.658415567338816
strongest,60,USD,2021,overlap,-7.778780658811435
strongest,60,NZD,2021,overlap,10.89057010583705
strongest,60,NZD,2021,overlap,-2.666494305327838
strongest,60,AUD,2021,asia,6.410008655703958
strongest,60,AUD,2021,london,-12.1634784840019
strongest,60,NZD,2021,london,-24.258603996252237
strongest,60,JPY,2021,london,11.89606704544488
strongest,60,JPY,2021,overlap,-9.911320998723383
strongest,60,USD,2021,overlap,-14.41889464589785
strongest,60,JPY,2021,overlap,-10.01646960624214
strongest,60,CHF,2021,overlap,-3.8435897716226908
strongest,60,NZD,2021,new_york,11.454908432362298
strongest,60,NZD,2021,asia,87.910282914323
strongest,60,NZD,2021,asia,-12.630847499495168
strongest,60,NZD,2021,london,-15.706602019056604
strongest,60,NZD,2021,london,4.547204055653786
strongest,60,NZD,2021,london,11.356142595553287
strongest,60,GBP,2021,london,-4.206822983934266
strongest,60,CAD,2021,overlap,19.733207112525296
strongest,60,CAD,2021,overlap,-41.82664890654747
strongest,60,CHF,2021,overlap,8.197794079699284
strongest,60,JPY,2021,overlap,1.7893822842296458
strongest,60,CHF,2021,new_york,5.483039837007597
strongest,60,CHF,2021,asia,0.2088839911770779
strongest,60,JPY,2021,asia,14.636039257345246
strongest,60,JPY,2021,london,-6.691117486168352
strongest,60,JPY,2021,london,-0.26609100842733824
strongest,60,CHF,2021,london,-33.906235474834844
strongest,60,GBP,2021,london,6.5971774950868145
strongest,60,GBP,2021,london,-14.420061086044544
strongest,60,USD,2021,overlap,-9.132088828183171
strongest,60,GBP,2021,overlap,12.652805795976274
strongest,60,USD,2021,overlap,18.785863925582234
strongest,60,JPY,2021,new_york,-15.57560834243965
strongest,60,NZD,2021,asia,14.042036874244435
strongest,60,NZD,2021,london,-1.705882427698313
strongest,60,NZD,2021,london,22.599267632681386
strongest,60,NZD,2021,london,-10.731231491551974
strongest,60,NZD,2021,london,-6.181357544763344
strongest,60,USD,2021,london,-1.1967305120674787
strongest,60,USD,2021,overlap,9.340220922486875
strongest,60,USD,2021,overlap,1.5366145802897524
strongest,60,USD,2021,overlap,-6.298483916672426
strongest,60,JPY,2021,new_york,32.98786958215949
strongest,60,JPY,2021,asia,3.7476071380115883
strongest,60,JPY,2021,london,23.188364924839888
strongest,60,JPY,2021,london,8.714272972945025
strongest,60,JPY,2021,london,-1.0334776701270698
strongest,60,JPY,2021,london,23.19358264875504
strongest,60,JPY,2021,london,17.905847137473785
strongest,60,JPY,2021,overlap,1.0421751290223824
strongest,60,JPY,2021,overlap,3.968669976899264
strongest,60,JPY,2021,overlap,-13.098565939451134
strongest,60,CHF,2021,overlap,9.28151822126591
strongest,60,CHF,2021,new_york,-0.5733225737443448
strongest,60,USD,2021,new_york,9.243383263780602
strongest,60,JPY,2021,asia,-7.258309827005149
strongest,60,USD,2021,london,-2.1841926770216347
strongest,60,USD,2021,london,-14.669615815358084
strongest,60,CAD,2021,london,-2.745582571032079
strongest,60,JPY,2021,london,-7.158404834086696
strongest,60,CAD,2021,london,2.5862778511900886
strongest,60,JPY,2021,overlap,21.895300933847395
strongest,60,JPY,2021,overlap,-41.869789596322704
strongest,60,NZD,2021,overlap,-2.093452496132464
strongest,60,GBP,2021,overlap,0.8907363738641649
strongest,60,CAD,2021,new_york,22.583586537935904
strongest,60,NZD,2021,new_york,-31.772496274407036
strongest,60,USD,2021,london,-10.38361357872275
strongest,60,CAD,2021,london,11.90678156890057
strongest,60,CAD,2021,london,-6.309994451495215
strongest,60,NZD,2021,london,-4.415160426882725
strongest,60,NZD,2021,london,-2.476978225840476
strongest,60,CAD,2021,overlap,32.165422667251306
strongest,60,NZD,2021,overlap,6.92375235872289
