instrument,split,side,entry_time,exit_time,decision_time,decision_bar_found,hour,session_bucket,reclaim_plus_impulse_score,reclaim_plus_impulse_present,reclaim_plus_micro_swing_break_score,reclaim_plus_micro_swing_break_present,liquidity_sweep_plus_displacement_score,liquidity_sweep_plus_displacement_present,range_expansion_after_compression_score,range_expansion_after_compression_present,reclaim_plus_retest_hold_score,reclaim_plus_retest_hold_present,failed_reclaim_or_trap_score,failed_reclaim_or_trap_present,reclaim_distance_atr,atr_at_entry,atr_percentile,spread_pips,spread_to_atr_pct,result_r,exit_reason,bars_held,mfe_status,mfe_r,mae_r,reached_plus_0_25r,reached_plus_0_5r,reached_plus_1_0r,touched_minus_0_5r,touched_minus_0_9r,profitable_trade,survived_to_time_exit,hard_stop_loss,clean_winner,straight_to_stop
USD_JPY,validation,long,2024-01-25T23:45:00+00:00,2024-01-26T01:15:00+00:00,2024-01-25T23:30:00+00:00,True,23,rollover_late,1.703433,True,-0.589238,False,2.024835,True,3.381107,True,3.0,True,4.0,True,0.07849047758535485,0.093341,0.4271,1.9,20.355470800612807,-0.006778879722337,hard_stop,7,OK,0.753281,-1.005249,True,True,False,True,True,False,False,True,False,False
USD_JPY,validation,short,2024-02-01T18:45:00+00:00,2024-02-02T03:30:00+00:00,2024-02-01T18:30:00+00:00,True,18,new_york,0.76219,False,-0.95407,False,0.85813,True,1.442775,False,3.0,True,,False,0.45453461944493184,0.187617,0.5729,1.7,9.061012594807506,-0.0018103164741037,time_stop,32,OK,0.282971,-0.541613,True,False,False,True,False,False,True,False,False,False
USD_JPY,validation,long,2024-02-06T07:30:00+00:00,2024-02-06T15:00:00+00:00,2024-02-06T07:15:00+00:00,True,7,london,0.921719,False,0.22709,True,1.816721,True,1.677582,True,3.0,True,,False,0.06844774117451813,0.07486,0.3333,1.7,22.709056906224955,-0.0067406793256624,hard_stop,31,OK,1.69969,-2.009288,True,True,True,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-02-09T14:30:00+00:00,2024-02-11T23:00:00+00:00,2024-02-09T14:15:00+00:00,True,14,london_ny_overlap,1.733366,True,-0.931589,False,0.0,False,1.351677,False,1.0,True,1.0,True,0.1954152101572964,0.130959,0.8854,1.9,14.508357577562444,-0.0067036259912986,hard_stop,30,OK,-0.017341,-1.366089,False,False,False,True,True,False,False,True,False,True
USD_JPY,validation,long,2024-02-14T08:30:00+00:00,2024-02-14T16:15:00+00:00,2024-02-14T08:15:00+00:00,True,8,london,0.467347,False,-0.467347,False,1.970436,True,0.630573,False,3.0,True,,False,0.09022989661623242,0.07917,0.4688,1.8,22.73588480485032,0.0012759157725968,time_stop,32,OK,1.344633,-0.158192,True,True,True,False,False,True,True,False,True,False
USD_JPY,validation,long,2024-02-16T17:00:00+00:00,2024-02-16T18:00:00+00:00,2024-02-16T16:45:00+00:00,True,17,new_york,0.785295,False,-0.181222,False,2.325681,True,0.948357,False,2.0,True,3.0,True,0.18741271456474315,0.099326,0.8229,1.6,16.108571773755113,-0.0066600953725657,hard_stop,5,OK,0.158879,-1.018692,False,False,False,True,True,False,False,True,False,True
USD_JPY,validation,short,2024-03-11T15:30:00+00:00,2024-03-11T23:45:00+00:00,2024-03-11T15:15:00+00:00,True,15,london_ny_overlap,0.607909,False,-0.312639,False,2.405583,True,0.778182,False,2.0,True,1.0,True,0.09078895694223313,0.115149,0.6562,1.3,11.289720275469175,0.0031912682441426,time_stop,32,OK,0.578732,-0.803681,True,True,False,True,False,True,True,False,False,False
USD_JPY,validation,short,2024-03-14T01:00:00+00:00,2024-03-14T02:15:00+00:00,2024-03-14T00:45:00+00:00,True,1,tokyo,1.475419,True,-0.632323,False,0.0,False,1.633394,False,1.0,True,3.0,True,0.8933055218285854,0.085399,0.3854,1.8,21.077530181852246,-0.0067678688657728,hard_stop,6,OK,0.089385,-1.162011,False,False,False,True,True,False,False,True,False,True
USD_JPY,validation,long,2024-03-15T07:30:00+00:00,2024-03-15T15:15:00+00:00,2024-03-15T07:15:00+00:00,True,7,london,2.20428,True,0.28877,True,3.619255,True,2.299301,False,1.0,True,,False,0.7143965560929183,0.103889,0.7708,1.4,13.475921416126829,0.0189445158403581,time_stop,32,OK,3.279188,-0.177665,True,True,True,False,False,True,True,False,True,False
USD_JPY,validation,long,2024-03-18T19:45:00+00:00,2024-03-19T03:30:00+00:00,2024-03-18T19:30:00+00:00,True,19,new_york,0.470094,False,0.248873,True,1.769766,True,1.392157,False,3.0,True,,False,0.31848339236539097,0.072326,0.3021,1.7,23.50468711113569,-0.0067109139593721,hard_stop,27,OK,4.649231,-1.055385,True,True,True,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-03-21T04:30:00+00:00,2024-03-21T12:15:00+00:00,2024-03-21T04:15:00+00:00,True,4,tokyo,0.735133,False,0.735133,True,2.39511,True,1.084211,False,1.0,True,,False,0.3540868260456993,0.126508,0.6354,1.5,11.856957662756505,0.0111601598842073,time_stop,32,OK,2.962894,0.09833,True,True,True,False,False,True,True,False,True,False
USD_JPY,validation,long,2024-03-22T03:00:00+00:00,2024-03-22T06:15:00+00:00,2024-03-22T02:45:00+00:00,True,3,tokyo,0.558942,False,-2.008699,False,0.0,False,1.37931,False,0.0,False,1.0,True,0.1454414217917739,0.114502,0.3854,1.3,11.353513475747148,-0.006604191019621,hard_stop,14,OK,0.028825,-1.093126,False,False,False,True,True,False,False,True,False,True
USD_JPY,validation,long,2024-03-22T08:30:00+00:00,2024-03-22T12:00:00+00:00,2024-03-22T08:15:00+00:00,True,8,london,0.872382,False,-0.296981,False,2.013902,True,1.330855,False,3.0,True,1.0,True,0.012376904118498103,0.107751,0.5521,1.4,12.992918859221724,-0.0066106524052858,hard_stop,15,OK,0.719457,-1.036199,True,True,False,True,True,False,False,True,False,False
USD_JPY,validation,long,2024-03-22T15:45:00+00:00,2024-03-25T00:45:00+00:00,2024-03-22T15:30:00+00:00,True,15,london_ny_overlap,0.69061,False,-0.170713,False,1.808002,True,1.053942,False,2.0,True,,False,0.2752770127431359,0.128872,0.8542,1.5,11.639456204606123,-0.0007725357696936,time_stop,32,OK,0.576994,-0.914657,True,True,False,True,True,False,True,False,False,False
USD_JPY,validation,long,2024-04-11T14:00:00+00:00,2024-04-11T22:45:00+00:00,2024-04-11T13:45:00+00:00,True,14,london_ny_overlap,0.837513,False,-0.913651,False,2.850929,True,0.633166,False,0.0,False,,False,0.6820218128550728,0.118207,1.0,1.3,10.997656653159288,0.0018035631661019,time_stop,32,OK,0.677932,-0.240557,True,True,False,False,False,True,True,False,True,False
USD_JPY,validation,long,2024-04-12T15:15:00+00:00,2024-04-15T00:00:00+00:00,2024-04-12T15:00:00+00:00,True,15,london_ny_overlap,0.819986,False,-0.421488,False,2.322017,True,1.026157,False,2.0,True,,False,0.03418100926814276,0.13049,1.0,1.5,11.495133726722354,0.0061371141010686,time_stop,32,OK,1.107209,-0.001848,True,True,True,False,False,True,True,False,True,False
